Drug.Name,Synonyms,ChEMBL ID,IDs,referenced_datasets,MOA,repurposing_target,Indication,Disease Area,Phase(RepHub),merge_issues,Type,Phase(ChEMBL),Inchi Key,SMILES
AZ-10606120,AZ-10606120,,BRD:BRD-K09907507-300-02-9,rep_single_dose,PURINERGIC RECEPTOR ANTAGONIST,P2RX7,,,,,,NA,,
AZ-12080282,AZ-12080282,,BRD:BRD-BRD-K05973499-300-01-0;BRD:BRD-K05973499-300-01-0,rep_primary;rep_single_dose,HEDGEHOG PATHWAY INHIBITOR,DHH,,,PRECLINICAL,,,NA,,CC1CCC(CC1NC(=O)C1CCC(OCC2CCCCN2)CC1)-C1NCC[NH]1
AZ-3146,AZ-3146,,CTRP:660087,ctrp,,,,,,,,NA,,
AZ-7371,AZ-7371,CHEMBL3109802,BRD:BRD-K14661019-001-02-9,rep_single_dose,ANTIBACTERIAL,,,,,,Small molecule,Phase 2,VDRYGTNDKXIPSK-UHFFFAOYSA-N,COC1NCNC(CN2CC(C(=O)NCCO)C3NCC(C)CC32)C1C
AZ-960,AZ-960,,GDSC2:1250,gdsc,,,,,,,,NA,,
AZ191,AZ191,,BRD:BRD-BRD-K80935598-001-01-1;BRD:BRD-K80935598-001-01-1,rep_primary;rep_single_dose,DYRK INHIBITOR,DYRK1B,,,PRECLINICAL,,,NA,,COC1CC(CCC1NC1NCCC(N1)-C1CN(C)C2CNCCC12)N1CCN(C)CC1
AZ20,AZ20,,BRD:BRD-BRD-K42436189-001-01-2;BRD:BRD-K42436189-001-01-2,rep_multi_dose;rep_primary;rep_single_dose,ATR KINASE INHIBITOR,ATR;MTOR,,,PRECLINICAL,,,NA,,C[C@@H]1COCCN1C1CC(NC(N1)-C1CCCC2[NH]CCC12)C1(CC1)S(C)(=O)=O
AZ3146,AZ3146,,BRD:BRD-BRD-K59146805-001-03-7;BRD:BRD-K59146805-001-03-7,rep_multi_dose;rep_primary;rep_single_dose,MONOPOLAR SPINDLE 1 KINASE INHIBITOR,,,,PRECLINICAL,,,NA,,COC1CC(OC2CCN(C)CC2)CCC1NC1NCC2N(C)C(=O)N(C3CCCC3)C2N1
AZ505,AZ505,,BRD:BRD-BRD-K76244476-362-02-5;BRD:BRD-K76244476-362-02-5,rep_primary;rep_single_dose,HISTONE LYSINE METHYLTRANSFERASE INHIBITOR,SMYD2,,,PRECLINICAL,,,NA,,OC1CCC(CCNCCN(C2CCCCC2)C(=O)CCNCCC2CCC(CL)C(CL)C2)C2OCC(=O)NC12
AZ6102,AZ6102,,GDSC2:2109,gdsc,,,,,,,,NA,,
AZ628,AZ628,,GDSC1:29,gdsc,,,,,,,,NA,,
AZ7550,AZ7550,,BRD:BRD-K00003515-003-01-9,rep_single_dose,INSULIN GROWTH FACTOR RECEPTOR INHIBITOR,,,,,,,NA,,
AZ960,AZ960,,BRD:BRD-BRD-K64888243-001-03-7;BRD:BRD-K64888243-001-03-7;GDSC2:1250,gdsc;rep_multi_dose;rep_primary;rep_single_dose,JAK INHIBITOR,JAK2,,,PRECLINICAL,,,NA,,C[C@H](NC1NC(NC2CC(C)[NH]N2)C(F)CC1C#N)C1CCC(F)CC1
AZACYCLONOL,AZACYCLONOL,CHEMBL127508,BRD:BRD-BRD-K97061094-001-21-4;BRD:BRD-K97061094-001-21-4,rep_primary;rep_single_dose,HISTAMINE RECEPTOR ANTAGONIST,HRH1,,,PRECLINICAL,,Small molecule,Unknown,ZMISODWVFHHWNR-UHFFFAOYSA-N,OC(C1CCCCC1)(C1CCCCC1)C1CCNCC1;OC(C1CCNCC1)(C1CCCCC1)C1CCCCC1
AZAGUANINE-8,AZAGUANINE-8,,BRD:BRD-K53114651-001-12-7,rep_single_dose,PURINE ANTAGONIST,PNP,,,,,,NA,,
AZALOMYCIN-B,AZALOMYCIN-B,,BRD:BRD-BRD-K96104201-001-01-5;BRD:BRD-K96104201-001-01-5,rep_multi_dose;rep_primary;rep_single_dose,BACTERIAL 50S RIBOSOMAL SUBUNIT INHIBITOR,,,,PRECLINICAL,,,NA,,CC[C@@H]1[C@@H](C)O[C@](O)(C[C@H]1O[C@H]1C[C@H](O)[C@H](O)[C@H](C)O1)[C@@H](C)[C@H](O)[C@H](C)[C@@H]1OC(=O)\C=C\C=C\[C@@H](C)[C@H](OC(=O)\C=C\C=C\[C@@H]1C)[C@@H](C)[C@@H](O)[C@H](C)[C@@]1(O)C[C@@H](O[C@H]2C[C@H](O)[C@H](O)[C@H](C)O2)[C@H](CC)[C@@H](C)O1
AZAPERONE,AZAPERONE,CHEMBL340211,BRD:BRD-BRD-K45861246-001-13-4;BRD:BRD-K45861246-001-13-4,rep_primary;rep_single_dose,DOPAMINE RECEPTOR ANTAGONIST,DRD2;DRD3,SEDATIVE,,LAUNCHED,,Small molecule,Unknown,XTKDAFGWCDAMPY-UHFFFAOYSA-N,FC1CCC(CC1)C(=O)CCCN1CCN(CC1)C1CCCCN1;O=C(CCCN1CCN(C2CCCCN2)CC1)C1CCC(F)CC1
AZAPROPAZONE,AZAPROPAZONE,CHEMBL1565476,BRD:BRD-A70182876-001-11-9,rep_single_dose,CYCLOOXYGENASE INHIBITOR,PTGS2,,,,,Small molecule,Approved,MPHPHYZQRGLTBO-UHFFFAOYSA-N,CCCC1C(=O)N2C(N(C)C)=NC3CCC(C)CC3N2C1=O
AZASERINE,AZASERINE,CHEMBL1095699,BRD:BRD-K47464228-001-14-9,rep_single_dose,PURINE ANTAGONIST,,,,,,Small molecule,Unknown,MZZGOOYMKKIOOX-VKHMYHEASA-N,[N-]=[N+]=CC(=O)OC[C@H](N)C(=O)O
AZASETRON,AZASETRON,CHEMBL1598608,BRD:BRD-A44133049-003-07-8;BRD:BRD-BRD-A44133049-003-07-8,rep_primary;rep_single_dose,SEROTONIN RECEPTOR ANTAGONIST,HTR3A;HTR3B,GENITIAL HERPES,,LAUNCHED,,Small molecule,Phase 2,WUKZPHOXUVCQOR-UHFFFAOYSA-N,CN1C(=O)COC2C(C(=O)NC3CN4CCC3CC4)CC(CL)CC21;CN1C(=O)COC2C1CC(CL)CC2C(=O)NC1CN2CCC1CC2
AZATADINE,AZATADINE,CHEMBL946,BRD:BRD-BRD-K77821588-364-01-2;BRD:BRD-K77821588-364-01-2,rep_primary;rep_single_dose,HISTAMINE RECEPTOR ANTAGONIST,HRH1,ALLERGIC RHINITIS,,LAUNCHED,,Small molecule,Approved,SEBMTIQKRHYNIT-UHFFFAOYSA-N,CN1CCC(=C2C3CCCCC3CCC3CCCNC32)CC1;CN1CCC(CC1)=C1C2CCCCC2CCC2CCCNC12
AZATHIOPRINE,AZATHIOPRINE,CHEMBL1542,BRD:BRD-BRD-K32821942-001-21-3;BRD:BRD-K32821942-001-21-3,rep_multi_dose;rep_primary;rep_single_dose,DEHYDROGENASE INHIBITOR,HPRT1;IMPDH1;PPAT,"RENAL HOMOTRANSPLANTATION, RHEUMATOID ARTHRITIS",,LAUNCHED,,Small molecule,Approved,LMEKQMALGUDUQG-UHFFFAOYSA-N,CN1CNC([N+](=O)[O-])C1SC1NCNC2[NH]CNC12;CN1CNC(C1SC1[NH]CNC2NCNC12)[N+]([O-])=O
AZD 2171,AZD 2171,,GDSC2:1922,gdsc,,,,,,,,NA,,
AZD 4017,AZD 4017,CHEMBL2153191,BRD:BRD-K00074831-001-02-9,rep_single_dose,,,,,,,Small molecule,Phase 2,NCDZABJPWMBMIQ-INIZCTEOSA-N,CCCSC1NC(N2CCC[C@@H](CC(=O)O)C2)CCC1C(=O)NC1CCCCC1
AZD 6094,AZD 6094,,GDSC2:1936,gdsc,,,,,,,,NA,,
AZD 6482,AZD 6482,CHEMBL2165191,GDSC1:1066;GDSC1:156;GDSC2:2169,gdsc,,,,,,,Small molecule,Phase 2,IRTDIKMSKMREGO-OAHLLOKOSA-N,CC1CC([C@@H](C)NC2CCCCC2C(=O)O)C2NC(N3CCOCC3)CC(=O)N2C1
AZD 6738,AZD 6738,CHEMBL4285417,GDSC2:1917,gdsc,,,,,,,Small molecule,Phase 3,OHUHVTCQTUDPIJ-JYCIKRDWSA-N,C[C@@H]1COCCN1C1CC(C2([S@](C)(=N)=O)CC2)NC(-C2CC[NH]C3NCCC2-3)N1
AZD 7762,AZD 7762,CHEMBL2041933,GDSC1:1022;GDSC2:1022,gdsc,,,,,,,Small molecule,Phase 1,IAYGCINLNONXHY-LBPRGKRZSA-N,NC(=O)NC1CC(-C2CCCC(F)C2)SC1C(=O)N[C@H]1CCCNC1
AZD 8186,AZD 8186,CHEMBL3408248,GDSC2:1918,gdsc,,,,,,,Small molecule,Phase 1,LMJFJIDLEAWOQJ-CQSZACIVSA-N,C[C@@H](NC1CC(F)CC(F)C1)C1CC(C(=O)N(C)C)CC2C(=O)CC(N3CCOCC3)OC12
AZD 9291,AZD 9291,,GDSC2:1919,gdsc,,,,,,,,NA,,
AZD-0364,AZD-0364,,BRD:BRD-K00091078-001-01-9,rep_single_dose,,,,,,,,NA,,
AZD-0530,AZD-0530,CHEMBL217092,GDSC1:38,gdsc,,,,,,,Small molecule,Phase 3,OUKYUETWWIPKQR-UHFFFAOYSA-N,CN1CCN(CCOC2CC(OC3CCOCC3)C3C(NC4C(CL)CCC5C4OCO5)NCNC3C2)CC1
AZD-2171,AZD-2171,CHEMBL491473,GDSC2:1922,gdsc,,,,,,,Small molecule,Phase 3,XXJWYDDUDKYVKI-UHFFFAOYSA-N,COC1CC2C(OC3CCC4[NH]C(C)CC4C3F)NCNC2CC1OCCCN1CCCC1
OLAPARIB,AZD-2281;KU0059436;MK-7339;OLAPARIB,CHEMBL521686,BRD:BRD-BRD-K02113016-001-15-4;BRD:BRD-K02113016-001-02-2;BRD:BRD-K02113016-001-15-4;BRD:BRD-K02113016-001-19-6;CTRP:411867;GDSC1:1017;GDSC1:1495;GDSC2:1017,ctrp;gdsc;oncref_1;rep_multi_dose;rep_primary;rep_single_dose,INHIBITOR OF PARP1 AND PARP2,PARP1;PARP2,OVARIAN CANCER,,LAUNCHED,"Multiple values for MOA: {'INHIBITOR OF PARP1 AND PARP2', 'PARP INHIBITOR'}, defaulting to 'INHIBITOR OF PARP1 AND PARP2'",Small molecule,Approved,FDLYAMZZIXQODN-UHFFFAOYSA-N,FC1CCC(CC2N[NH]C(=O)C3CCCCC23)CC1C(=O)N1CCN(CC1)C(=O)C1CC1;O=C(C1CC(CC2N[NH]C(=O)C3CCCCC23)CCC1F)N1CCN(C(=O)C2CC2)CC1
AZD-6094,AZD-6094,CHEMBL3334567,GDSC2:1936,gdsc,,,,,,,Small molecule,Phase 3,XYDNMOZJKOGZLS-NSHDSACASA-N,C[C@@H](C1CCC2NCCN2C1)N1NNC2NCC(-C3CNN(C)C3)NC21
AZD-6244,AZD-6244,CHEMBL1614701,GDSC1:1062;GDSC1:1498,gdsc,,,,,,,Small molecule,Approved,CYOHGALHFOKKQC-UHFFFAOYSA-N,CN1CNC2C(F)C(NC3CCC(BR)CC3CL)C(C(=O)NOCCO)CC21
AZD-6482,AZD-6482,CHEMBL2165191,GDSC1:1066;GDSC1:156;GDSC2:2169,gdsc,,,,,,,Small molecule,Phase 2,IRTDIKMSKMREGO-OAHLLOKOSA-N,CC1CC([C@@H](C)NC2CCCCC2C(=O)O)C2NC(N3CCOCC3)CC(=O)N2C1
AZD-6738,AZD-6738,CHEMBL4285417,GDSC2:1917,gdsc,,,,,,,Small molecule,Phase 3,OHUHVTCQTUDPIJ-JYCIKRDWSA-N,C[C@@H]1COCCN1C1CC(C2([S@](C)(=N)=O)CC2)NC(-C2CC[NH]C3NCCC2-3)N1
AZD-7648,AZD-7648,CHEMBL4650446,BRD:BRD-K00091088-001-01-9,rep_single_dose,,,,,,,Unknown,Phase 1,,
AZD-7762,AZD-7762,CHEMBL2041933,GDSC1:1022;GDSC2:1022,gdsc,,,,,,,Small molecule,Phase 1,IAYGCINLNONXHY-LBPRGKRZSA-N,NC(=O)NC1CC(-C2CCCC(F)C2)SC1C(=O)N[C@H]1CCCNC1
AZD-8055,AZD-8055,CHEMBL1801204,GDSC1:1059;GDSC2:1059,gdsc,,,,,,,Small molecule,Phase 1,KVLFRAWTRWDEDF-IRXDYDNUSA-N,COC1CCC(-C2CCC3C(N4CCOC[C@@H]4C)NC(N4CCOC[C@@H]4C)NC3N2)CC1CO
AZD-8186,AZD-8186,CHEMBL3408248,GDSC2:1918,gdsc,,,,,,,Small molecule,Phase 1,LMJFJIDLEAWOQJ-CQSZACIVSA-N,C[C@@H](NC1CC(F)CC(F)C1)C1CC(C(=O)N(C)C)CC2C(=O)CC(N3CCOCC3)OC12
AZD-9291,AZD-9291,CHEMBL3353410,GDSC2:1919,gdsc,,,,,,,Small molecule,Approved,DUYJMQONPNNFPI-UHFFFAOYSA-N,C=CC(=O)NC1CC(NC2NCCC(-C3CN(C)C4CCCCC34)N2)C(OC)CC1N(C)CCN(C)C
AZD0156,AZD0156,CHEMBL4297899,BRD:BRD-K69555850-001-02-9,rep_single_dose,ATM KINASE INHIBITOR,,,,,,Unknown,Phase 1,,
AZD0530,AZD0530,CHEMBL217092,GDSC1:38,gdsc,,,,,,,Small molecule,Phase 3,OUKYUETWWIPKQR-UHFFFAOYSA-N,CN1CCN(CCOC2CC(OC3CCOCC3)C3C(NC4C(CL)CCC5C4OCO5)NCNC3C2)CC1
AZD1080,AZD1080,,BRD:BRD-BRD-K61041538-001-03-0;BRD:BRD-K61041538-001-03-0,rep_primary;rep_single_dose,GLYCOGEN SYNTHASE KINASE INHIBITOR,GSK3A;GSK3B,,,PHASE 1,,,NA,,OC1[NH]C2CCC(CC2C1-C1CCC(CN2CCOCC2)CN1)C#N
AZD1208,AZD1208,,BRD:BRD-BRD-K21908111-001-01-8;BRD:BRD-K21908111-001-01-8,rep_primary;rep_single_dose,PIM KINASE INHIBITOR,PIM1;PIM2;PIM3,,,PHASE 1,,,NA,,N[C@@H]1CCCN(C1)C1C(CCCC1-C1CCCCC1)\C=C1/SC(=O)NC1=O
AZD1283,AZD1283,,BRD:BRD-BRD-K77060810-001-01-5;BRD:BRD-K77060810-001-01-5,rep_primary;rep_single_dose,PURINERGIC RECEPTOR ANTAGONIST,P2RY12,,,PRECLINICAL,,,NA,,CCOC(=O)C1CC(C#N)C(NC1C)N1CCC(CC1)C(=O)NS(=O)(=O)CC1CCCCC1
AZD1390,AZD1390,CHEMBL4594429,BRD:BRD-K00003509-001-01-9,rep_single_dose,ATM KINASE INHIBITOR,,,,,,Small molecule,Phase 1,VQSZIPCGAGVRRP-UHFFFAOYSA-N,CC(C)N1C(=O)N(C)C2CNC3CC(F)C(-C4CCC(OCCCN5CCCCC5)NC4)CC3C21
AZD1446,AZD1446,CHEMBL2179529,BRD:BRD-A44188509-001-01-2;BRD:BRD-BRD-A44188509-001-01-2,rep_primary;rep_single_dose,ACETYLCHOLINE RECEPTOR AGONIST,CHRNA4;CHRNB2,,,PHASE 2,,Small molecule,Phase 2,GTUIQNHJSXQMKW-UHFFFAOYSA-N,CLC1CCC(O1)C(=O)N1CC2CNCC2C1;O=C(C1CCC(CL)O1)N1CC2CNCC2C1
AZD1480,AZD1480,CHEMBL1231124,BRD:BRD-BRD-K65928735-001-04-3;BRD:BRD-K65928735-001-04-3;CTRP:660306,ctrp;rep_multi_dose;rep_primary;rep_single_dose,JAK INHIBITOR,JAK1;JAK2;JAK3,,,PHASE 1,,Small molecule,Phase 2,PDOQBOJDRPLBQU-QMMMGPOBSA-N,C[C@H](NC1NCC(CL)C(NC2CC(C)[NH]N2)N1)C1NCC(F)CN1;CC1CC(NC2NC(N[C@@H](C)C3NCC(F)CN3)NCC2CL)[NH]N1
AZD1775,AZD1775,CHEMBL1976040,GDSC2:1179,gdsc,,,,,,,Small molecule,Phase 2,BKWJAKQVGHWELA-UHFFFAOYSA-N,C=CCN1C(=O)C2CNC(NC3CCC(N4CCN(C)CC4)CC3)NC2N1-C1CCCC(C(C)(C)O)N1
AZD1940,AZD1940,,BRD:BRD-K00075152-001-02-9,rep_single_dose,,,,,,,,NA,,
AZD1981,AZD1981,CHEMBL1914489,BRD:BRD-BRD-K83186168-001-01-8;BRD:BRD-K83186168-001-01-8,rep_primary;rep_single_dose,CRTH RECEPTOR ANTAGONIST,PTGDR2,,,PHASE 2,,Small molecule,Phase 2,JWYIGNODXSRKGP-UHFFFAOYSA-N,CC(=O)NC1CCCC2C1C(SC1CCC(CL)CC1)C(C)N2CC(=O)O;CC(=O)NC1CCCC2N(CC(O)=O)C(C)C(SC3CCC(CL)CC3)C12
VISTUSERTIB,AZD2014;VISTUSERTIB,CHEMBL2336325,BRD:BRD-BRD-K99113996-001-02-0;BRD:BRD-K99113996-001-02-0;BRD:BRD-K99113996-001-03-9,oncref_1;rep_multi_dose;rep_primary;rep_single_dose,INHIBITOR OF MTOR,MTOR,,,PHASE 2,"Multiple values for MOA: {'MTOR INHIBITOR', 'INHIBITOR OF MTOR'}, defaulting to 'INHIBITOR OF MTOR'",Small molecule,Phase 2,JUSFANSTBFGBAF-IRXDYDNUSA-N,CNC(=O)C1CCCC(-C2CCC3C(N4CCOC[C@@H]4C)NC(N4CCOC[C@@H]4C)NC3N2)C1;CNC(=O)C1CCCC(C1)-C1CCC2C(NC(NC2N1)N1CCOC[C@@H]1C)N1CCOC[C@@H]1C
AZD2098,AZD2098,,BRD:BRD-K00076909-001-02-9,rep_single_dose,,,,,,,,NA,,
AZD2171,AZD2171,CHEMBL491473,GDSC2:1922,gdsc,,,,,,,Small molecule,Phase 3,XXJWYDDUDKYVKI-UHFFFAOYSA-N,COC1CC2C(OC3CCC4[NH]C(C)CC4C3F)NCNC2CC1OCCCN1CCCC1
AZD2281,AZD2281,CHEMBL521686,GDSC1:1017;GDSC1:1495;GDSC2:1017,gdsc,,,,,,,Small molecule,Approved,FDLYAMZZIXQODN-UHFFFAOYSA-N,O=C(C1CC(CC2N[NH]C(=O)C3CCCCC23)CCC1F)N1CCN(C(=O)C2CC2)CC1
AZD2461,AZD2461,CHEMBL4098253,BRD:BRD-BRD-K85014146-001-02-5;BRD:BRD-K85014146-001-02-5,rep_multi_dose;rep_primary;rep_single_dose,PARP INHIBITOR,,,,PHASE 1,,Small molecule,Phase 1,HYNBNUYQTQIHJK-UHFFFAOYSA-N,COC1CCN(C(=O)C2CC(CC3N[NH]C(=O)C4CCCCC34)CCC2F)CC1;COC1CCN(CC1)C(=O)C1CC(CC2N[NH]C(=O)C3CCCCC23)CCC1F
AZD2858,AZD2858,,BRD:BRD-BRD-K85849709-001-01-5;BRD:BRD-K85849709-001-01-5,rep_multi_dose;rep_primary;rep_single_dose,GLYCOGEN SYNTHASE KINASE INHIBITOR,GSK3B,,,PRECLINICAL,,,NA,,CN1CCN(CC1)S(=O)(=O)C1CCC(CC1)-C1CNC(N)C(N1)C(=O)NC1CCCNC1
AZD3264,AZD3264,,BRD:BRD-K14287049-001-01-3,rep_single_dose,IKK INHIBITOR,IKBKB,,,,,,NA,,
AZD3463,AZD3463,,BRD:BRD-BRD-K24593301-001-02-3;BRD:BRD-K24593301-001-02-3,rep_multi_dose;rep_primary;rep_single_dose,"ALK TYROSINE KINASE RECEPTOR INHIBITOR, INSULIN GROWTH FACTOR RECEPTOR INHIBITOR",ALK;IGF1R,,,PRECLINICAL,,,NA,,COC1CC(CCC1NC1NCC(CL)C(N1)-C1C[NH]C2CCCCC12)N1CCC(N)CC1
AZD3514,AZD3514,CHEMBL2346976,BRD:BRD-BRD-K84996356-001-01-1;BRD:BRD-K84996356-001-01-1,rep_primary;rep_single_dose,ANDROGEN RECEPTOR MODULATOR,AR,,,PHASE 1,,Small molecule,Phase 1,JMEYDSHPKCSIJC-UHFFFAOYSA-N,CC(=O)N1CCN(CCOC2CCC(C3CCN(C4=NN5C(NNC5C(F)(F)F)CC4)CC3)CC2)CC1;CC(=O)N1CCN(CCOC2CCC(CC2)C2CCN(CC2)C2=NN3C(CC2)NNC3C(F)(F)F)CC1
AZD3759,AZD3759,CHEMBL3623290,BRD:BRD-BRD-K41626799-001-01-1;BRD:BRD-K41626799-001-01-1;GDSC2:1915,gdsc;rep_primary;rep_single_dose,EGFR INHIBITOR,EGFR,,,PHASE 1,,Small molecule,Phase 2,MXDSJQHFFDGFDK-CYBMUJFWSA-N,COC1CC2NCNC(NC3CCCC(CL)C3F)C2CC1OC(=O)N1CCN(C)C[C@H]1C
AZD3839,AZD3839,CHEMBL2177913,BRD:BRD-K00004606-001-01-9,rep_single_dose,BETA-SECRETASE INHIBITOR,BACE1,,,,,Small molecule,Phase 1,MRXBCEQZNKUUIP-DEOSSOPVSA-N,NC1=N[C@@](C2CCCC(-C3CNCNC3)C2)(C2CCNC(C(F)F)C2)C2CCCC(F)C21
AZD3965,AZD3965,CHEMBL3335793,BRD:BRD-BRD-K25210703-001-01-9;BRD:BRD-K25210703-001-01-9,rep_primary;rep_single_dose,MONOCARBOXYLATE TRANSPORTER INHIBITOR,SLC16A1,,,PHASE 1,,Small molecule,Phase 1,PRNXOFBDXNTIFG-FQEVSTJZSA-N,CC(C)N1C2SC(CC3C(C)[NH]NC3C(F)(F)F)C(C(=O)N3C[C@](C)(O)CO3)C2C(=O)N(C)C1=O;CC1[NH]NC(C(F)(F)F)C1CC1SC2C(C1C(=O)N1C[C@](C)(O)CO1)C(=O)N(C)C(=O)N2C(C)C
AZD3988,AZD3988,,BRD:BRD-BRD-K73984371-001-01-1;BRD:BRD-K73984371-001-01-1,rep_primary;rep_single_dose,DIACYLGLYCEROL KINASE INHIBITOR,DGAT1,,,PRECLINICAL,,,NA,,OC(=O)C[C@H]1CC[C@@H](CC1)C1CCC(NC(=O)C2NNC(NC3CCC(F)C(F)C3)O2)CC1
AZD4282,AZD4282,,BRD:BRD-BRD-K72369578-001-04-1;BRD:BRD-K72369578-001-04-1,rep_primary;rep_single_dose,GLUTAMATE RECEPTOR ANTAGONIST,AGXT;AGXT2;ALAS1;ALAS2;BAAT;GARS;GATM;GCAT;GCSH;GLDC;GLRA1;GLRA2;GLRA3;GLRB;GLYAT;GLYATL1;GLYATL2;GNMT;GPR18;GPRC6A;GRIN1;GRIN2A;GRIN2B;GRIN2C;GRIN2D;GRIN3B;GSS;PIPOX;SHMT1;SHMT2;SLC32A1;SLC36A1;SLC6A5;SLC6A9,,,PHASE 1,,,NA,,NCC(O)=O
AZD4547,AZD4547,CHEMBL3184679,BRD:BRD-BRD-K28392481-001-05-1;BRD:BRD-K28392481-001-05-1;CTRP:660325;GDSC2:1786,ctrp;gdsc;rep_multi_dose;rep_primary;rep_single_dose,FGFR INHIBITOR,FGFR1;FGFR2;FGFR3;FGFR4;IGF1R;KDR,,,PHASE 2/PHASE 3,,Small molecule,Phase 2,VRQMAABPASPXMW-UHFFFAOYSA-N,COC1CC(CCC2CC(NC(=O)C3CCC(CC3)N3C[C@H](C)N[C@H](C)C3)N[NH]2)CC(OC)C1;COC1CC(CCC2CC(NC(=O)C3CCC(N4CC(C)NC(C)C4)CC3)N[NH]2)CC(OC)C1
AZD4573,AZD4573,CHEMBL4462530,BRD:BRD-K00003106-001-01-9,rep_single_dose,CDK9 INHIBITOR,,,,,,Small molecule,Phase 2,AVIWDYSJSPOOAR-LSDHHAIUSA-N,CC(=O)N[C@@H]1CCC[C@H](C(=O)NC2CC(-C3CNN4C3CC(C)(C)C4)C(CL)CN2)C1
AZD4635,AZD4635,CHEMBL4594442,BRD:BRD-K00003443-001-01-9,rep_single_dose,ADENOSINE RECEPTOR ANTAGONIST,,,,,,Small molecule,Phase 2,NCWQLHHDGDXIJN-UHFFFAOYSA-N,CC1CC(-C2NNC(N)NC2-C2CCC(F)CC2)CC(CL)N1
AZD5069,AZD5069,,BRD:BRD-BRD-K34801930-001-01-9;BRD:BRD-K00003297-001-01-9,rep_primary;rep_single_dose,CC CHEMOKINE RECEPTOR ANTAGONIST,CXCR2,,,PHASE 2,,,NA,,C[C@H](NC1CC(NS(=O)(=O)N2CCC2)NC(SCC2CCCC(F)C2F)N1)[C@@H](O)CO
AZD5153,AZD5153,CHEMBL4078100,BRD:BRD-K00003528-457-01-9,rep_single_dose,BROMODOMAIN INHIBITOR,,,,,,Small molecule,Phase 1,RSMYFSPOTCDHHJ-GOSISDBHSA-N,COC1NNC2CCC(N3CCC(C4CCC(OCCN5CCN(C)C(=O)[C@H]5C)CC4)CC3)NN12
SARUPARIB,AZD5305;SARUPARIB,CHEMBL5095220,BRD:BRD-K00126470-001-01-9,oncref_2,INHIBITOR OF PARP1,PARP1;PARP2,,,,,Small molecule,Phase 2,WQAVGRAETZEADU-UHFFFAOYSA-N,CCC1CC2NCC(CN3CCN(C4CCC(C(=O)NC)NC4)CC3)CC2[NH]C1=O
CAPIVASERTIB,AZD5363;CAPIVASERTIB,CHEMBL2325741,BRD:BRD-BRD-K99023089-001-03-7;BRD:BRD-K99023089-001-03-7;BRD:BRD-K99023089-001-06-9;GDSC2:1916,gdsc;oncref_1;rep_multi_dose;rep_primary;rep_single_dose,"INHIBITOR OF AKT1, AKT2, AND AKT3",AKT1;AKT2;AKT3,,,PHASE 2,"Multiple values for MOA: {'AKT INHIBITOR', 'INHIBITOR OF AKT1, AKT2, AND AKT3'}, defaulting to 'INHIBITOR OF AKT1, AKT2, AND AKT3'",Small molecule,Phase 3,JDUBGYFRJFOXQC-KRWDZBQOSA-N,NC1(C(=O)N[C@@H](CCO)C2CCC(CL)CC2)CCN(C2NC[NH]C3NCCC2-3)CC1;NC1(CCN(CC1)C1NCNC2[NH]CCC12)C(=O)N[C@@H](CCO)C1CCC(CL)CC1
AZD5423,AZD5423,CHEMBL4072756,BRD:BRD-K00076418-001-02-9,rep_single_dose,,,,,,,Small molecule,Phase 2,FCNQMDSJHADDFT-WNSKOXEYSA-N,COC1CCCC([C@@H](OC2CCC3C(CNN3-C3CCC(F)CC3)C2)[C@H](C)NC(=O)C(F)(F)F)C1
AZD5438,AZD5438,,BRD:BRD-BRD-K72414522-001-06-7;BRD:BRD-K72414522-001-06-7,rep_multi_dose;rep_primary;rep_single_dose,CDK INHIBITOR,KCNH2,,,PHASE 1,,,NA,,CC(C)N1C(C)NCC1-C1CCNC(NC2CCC(CC2)S(C)(=O)=O)N1
AZD5582,AZD5582,,BRD:BRD-K88767641-001-01-7;GDSC2:1617,gdsc;rep_single_dose,XIAP INHIBITOR,BIRC2;BIRC3;XIAP,,,,,,NA,,
AZD5991,AZD5991,CHEMBL4297482,BRD:BRD-K00005264-001-01-9;BRD:BRD-K00005264-001-02-9,oncref_1;rep_single_dose,INHIBITOR OF MCL1,MCL1,,,,"Multiple values for MOA: {'INHIBITOR OF MCL1', 'MCL1 INHIBITOR'}, defaulting to 'INHIBITOR OF MCL1'",Small molecule,Phase 1,KBQCEQAXHPIRTF-UHFFFAOYSA-N,CC1C2C(NN1C)CSCC1CC(N(C)N1)CSC1CC(C3CCCCC3C1)OCCCC1C(C(=O)O)N(C)C3C-2C(CL)CCC13
AZD6094,AZD6094,CHEMBL3334567,GDSC2:1936,gdsc,,,,,,,Small molecule,Phase 3,XYDNMOZJKOGZLS-NSHDSACASA-N,C[C@@H](C1CCC2NCCN2C1)N1NNC2NCC(-C3CNN(C)C3)NC21
AZD6244,AZD6244,CHEMBL1614701,GDSC1:1062;GDSC1:1498,gdsc,,,,,,,Small molecule,Approved,CYOHGALHFOKKQC-UHFFFAOYSA-N,CN1CNC2C(F)C(NC3CCC(BR)CC3CL)C(C(=O)NOCCO)CC21
